,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
MEL-HO,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
MES-SA,1.0,,,,,,0.0,1.0,,,1.0,,1.0,1.0,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,
MFE-280,1.0,,,,0.0,0.0,1.0,,,1.0,,,,,,,0.0,1.0,,,,,0.0,1.0
MFE-296,0.0,0.0,1.0,,1.0,,1.0,,1.0,,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
MFE-319,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,0.0,1.0
MG-63,0.0,1.0,0.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,0.0,1.0,1.0
MHH-ES-1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MIA PaCa-2,1.0,1.0,1.0,1.0,,1.0,,,0.0,1.0,,1.0,,0.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
MJ,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,0.0,,1.0,1.0
MKN-45,1.0,,,1.0,,1.0,1.0,,,0.0,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
MKN7,0.0,,,,,1.0,,,,,,1.0,,,,,,0.0,,,0.0,,0.0,
MKN74,1.0,1.0,,,0.0,0.0,,,,,,1.0,,,,,1.0,0.0,1.0,,1.0,,1.0,
MOG-G-CCM,1.0,,1.0,,,,,,,,,0.0,1.0,,,,0.0,0.0,0.0,,,,1.0,
MOLP-8,0.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,1.0,1.0,1.0,
MOLT-16,0.0,0.0,,,,1.0,1.0,1.0,,,1.0,,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,,,1.0,1.0
MONO-MAC-1,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,0.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MOR/CPR,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,
MPP 89,1.0,1.0,1.0,,,1.0,,,1.0,0.0,,0.0,,1.0,,,0.0,1.0,1.0,,1.0,0.0,1.0,1.0
MSTO-211H,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Malme-3M,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
MeWo,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,0.0,0.0,,
Mino,1.0,1.0,,0.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0
NCI-H1048,1.0,0.0,1.0,,,1.0,,,1.0,0.0,,0.0,,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NCI-H1092,0.0,,,,,1.0,,,,,,,,0.0,,,,1.0,0.0,,,1.0,0.0,
NCI-H1155,1.0,1.0,,,1.0,,1.0,,0.0,,,1.0,,1.0,,1.0,0.0,1.0,,,,1.0,1.0,
NCI-H1184,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,
NCI-H1299,1.0,1.0,1.0,1.0,0.0,,1.0,,1.0,,,1.0,,,,,1.0,0.0,1.0,,0.0,0.0,1.0,
NCI-H1339,1.0,0.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
NCI-H1341,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,
NCI-H1355,1.0,1.0,1.0,0.0,1.0,,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0
